,City/Town,Name of Property,Use**,Prior Rounds Applications,Proponent Name,Remaining Credit to Award,Total Awards,20% QRE,Qualified Rehab. $,Total Project Cost,HRC #,Entity,Part 2 Qualified Rehab. $,Part 2 Total Project Cost,Count_prior_rounds_applied
2431,Lawrence,"Wood Worsted Mill Building C (formerly Office Building), 200 Merrimack Street",R,"13    4, 15, 16,17, 18, 19, 20,21, 22, 23, 24,25, 26, 27, 36,37, 38, 39, 40,41, 42",Salvatore Lupoli,574607.6,3000000,3574607.6,17873038,22481348,117,200 Riverwalk LLC,,,21
805,Lowell,Hamilton Canal Lofts (Phase 2 of 2),"R, C","6,7,8,9,10,11,12,13,14,15, 16,17, 18, 19, 20,21, 22, 23, 24,25, 26",Sean McDonnell,585826.4,12800000,7485826.4,37429132,45006500,54,"HCL Acquisition LLC, subsidiary of Architectural Heritage Foundation",,,21
1234,Waltham,Waltham Watch Company Phased (Phases 10-11 of 12),"R, C","11, 12, 13, 14,15, 16, 17, 18,19, 20, 21, 22,23, 24, 25, 26,27, 28, 29, 30",Ian McGill,4259000,4700000,22729452.8,113647264,132824000,96,"Watch City Ventures LLC, c/o Berkeley Investments, Inc.",,,20
1350,Boston / Charlestown,"Terminal Storage Company, 267 Medford Street",R,"12,13, 15, 16,17, 18, 19, 21,22, 23, 24, 25,26, 27, 28, 29,30, 31, 32",Michael Rauseo,1740000,6700000,5640000,28200000,37200000,103,Suffolk Medford LLC,,,19
1926,Fitchburg,"Fitchburg Yarn Mill, 1428 Main Street",R,"21, 22, 23, 24,25, 26, 27, 28,29, 30, 31, 32,33, 34, 35, 36,37, 38",Lawrence Curtis,755994.8,4900000,5655994.8,28279974,37440936,275,Fitchburg Yarn Limited Partnership,,,18
1639,Clinton,"Lancaster Mills, 1-55 Green Street Phase 2","R, C","18, 19, 20, 21,22, 23, 24, 25,26, 27, 28, 29,30, 31, 32, 33,34, 35",Chris Starr,1030665.4,1100000,2130665.4,10653327,11585000,101,Clinton Millworks II LLC c/o Starr Development Partners,,,18
1922,Dudley,Stevens Linen Mill,R,"14, 16, 21, 22,23, 24, 25, 26,28, 29, 30, 31,32, 33, 34, 35,37",George S. Peterson,198599,6000000,6198599,30992995,39621026,142,Stevens Mills LLC,,,17
1423,Webster,Sitkowski School  29 Negus St,R,"17, 18, 19, 20,21, 22, 23, 24,25, 26, 27, 28,29, 30, 31, 32",Philip R  Giffee,682496.2,3800000,2882496.2,14412481,19586182,200,Sitkowski School LLC,,,16
1930,Holyoke,"Victory Theatre, 81-89 Suffolk Street",E,"17, 18, 19, 20,21, 22, 23, 24,25, 26, 27, 28,29, 30, 31, 38",Donald T. Sanders,293078,4300000,4593078,22965390,28840765,192,Massachusetts International Festival of the Arts - MIFA,,,16
1941,Ludlow,"Ludlow Manufacturing Company Mill #10, 40 State Street",R,"24, 25, 26, 27,28, 29, 30, 31,32, 33, 34, 35,36, 37, 38",Lawrence Curtis,940531.6,3550000,4490531.6,22452658,27795287,343,Ludlow Mill Housing Limited Partnership,,,15
2316,Lawrence,"Wood Worsted Mill Building F, 280 Merrimack Street",C,"27, 28, 29, 30,31, 32, 33, 34,35, 36, 37, 38,39, 40, 41",Salvatore Lupoli,5493282,5000000,10493282,52466410,63324227,412,280 Riverwalk LLC,,,15
1692,Williamstown,"The Boston Finishing Works- Loop, Hopkins & Company Complex; 160 Water Street",R,"21, 22, 23, 24,25, 26, 27, 28,29, 30, 31, 32,33, 34, 35",Bart Mitchell,576600,6300000,4376600,21883000,26289238,298,160 Water LLC,,,15
2044,Fall River,"Mechanics Mill (Commonwealth Landing), 1082 Davol Street","C, O, R","24, 25, 26, 27,29, 30, 31, 32,33, 34, 35, 36,37, 38, 39",Alan F. Macomber,1664660.2,4950000,4714660.2,23573301,26339063,338,"Mechanics Mill One, LLC",,,15
2420,Hanover,"Kennedy Building, Cardinal Cushing Center, 369 Washington Street",R,"27, 28, 29, 30,31, 32, 33, 34,35, 36, 37, 38,39, 40, 42","POUA Holdings, LLC, c/o Bill Grogan",419690,2050000,2469690,12348450,15980074,410,"Planning Office for Urban Affairs, Inc.",,,15
2385,Boston / Roxbury,2101-2115 Washington Street,"R, C","28, 29, 30, 31,32, 33, 34, 35,36, 37, 38, 39,40, 41, 42",Russell Tanner,1121969.4,2500000,3621969.4,18109847,19795861,424,Madison Park Development Corporation,,,15
555,Westford,"Abbott Worsted Mill, PleasantStreet",R,"10,11,12,13,14, 15, 16, 17,18, 19, 20, 21,22, 23",Christopher Yule,1694784.8,9400000,7494784.8,37473924,39748790,91,Abbott Mill LLC,,,14
2075,Northampton,"Gardiner Green Hubbard Hall, 47 Round Hill Rd",R,"26, 27, 28, 29,30, 31, 32, 33,34, 35, 36, 37,38, 39",Peter Picknelly,570000,3050000,2270000,11350000,14081000,394,"Historic Round Hill Summit, LLC c/o OPAL Real Estate Group",,,14
2318,Lowell,"Hamilton Manufacturing Company Mill #6 - Unit B, 101- 161 Jackson Street",Health,"28, 29, 30, 31,32, 33, 34, 35,36, 37, 38, 39,40, 41","Susan West Levine, CEO",1990823.4,2800000,4790823.4,23954117,30301011,442,Lowell Community Health Center Inc.,,,14
52,Boston / Fenway,Fenway Park Phased,E,"5, 6, 7, 8, 9,10,11,12,13,14,15, 16, 17",Jeffrey White,28578000,20450000,39428000,197140000,247180000,39,Olde Town Team Realty Co. / NESVI LLC,,,13
1157,Worcester,Worcester Industrial Technical Institute  2 Grove St,"R, C","17, 18, 19, 20,21, 22, 23, 24,25, 26, 27, 28,29",Lawrence H  Curtis,610316.2,7800000,5110316.2,25551581,33899196,204,Voke Lofts Limited Partnership by Voke Winn Lofts LLC,,,13
53,Boston / Fenway,John B. Smith Building Phased,"O, C","5, 6, 7, 8, 9,10,11,12,13,14,15, 16, 17",Jeffrey White,1366000,6250000,5116000,25580000,30000000,41,Olde Town Team Realty Co. / NESVI LLC,,,13
1183,Boston / South Boston,5 Channel Center (at 40-52Midway Street) (Phase 2 of 3),"R, C, O","18, 19, 20, 21,22, 23, 24, 25,26, 27, 28, 29,30",Richard Galvin,7883387.4,3900000,10083387.4,50416937,59547875,210,"Channel Center Holdings VAF, LLC",,,13
51,Boston / Fenway,Fenway Garage Company Phased,"O, C","5, 6, 7, 8, 9,10,11,12,13,14,15, 16, 17",Jeffrey White,1936000,1250000,3186000,15930000,17230000,40,Olde Town Team Realty Co. / NESVI LLC,,,13
1867,Boston / Back Bay,"New England Power Building, 185 Dartmouth Street / 441 Stuart Street","O, C","26, 27, 28, 29,30, 31, 32, 33,34, 35, 36, 37,38",David Greaney,1109168.2,3700000,4809168.2,24045841,70758875,382,"Stuart Street Holdings LLC, c/o Synergy Investment & Development",,,13
2439,Lynn,Cobbet Hill Apartments(formerly Cobbet Junior High School and English High School)  500 Essex Street,R,"30, 31, 32, 33,34, 35, 36, 37,38, 39, 40, 41,42",Charles Gaeta,508429.2,2900000,3408429.2,17042146,23912274,513,Cobbet Hill School LLC,,,13
2130,Boston / Downtown,"Old Colony Trust Company (New England Center for Homeless Veterans), 17 Court Street & 30 Cornhill St",R,"29, 30, 31, 32,33, 34, 35, 36,37, 38, 39, 40",Kevin Ward,1817197.61,4500000,6317197.61,31585988.07,36926105.13,455,Court Street Veterans Housing LLC,,,12
597,Lawrence,Wood Worsted Mill Building D (Phase 2 of 2),R,"13,14,15, 16,17, 18, 19, 20,21, 22, 23, 24",Shaw Rosen for RobertD. Ansin,7637859.2,5600000,11137859.2,55689296,63916714,118,Wood Mill LLC  c/o MassInnovation LLC,,,12
1557,Fall River,"Fall River YMCA, 199 North Main Street","R,Communit y","23, 24, 25, 26,27, 28, 29, 30,31, 32, 33, 34",Gary R. Schuyler,291504,3300000,2391504,11957520,13747520,316,YMCA Southcoast,,,12
1375,Easthampton,"Nashawannuck Mills, 15 Cottage Street",R,"19, 20, 21, 22,23, 24, 25, 26,27, 28, 29, 30",Richard C. Relich,188100,5500000,3188100,15940500,18527274,238,Arch Street Development LLC,,,12
2083,Somerville,"Mystic River Pump House(Mystic Water Works), Alewife Brook Parkway at Capen",R,"23, 24, 25, 26,27, 28, 29, 30,31, 32, 33, 39",Paul Mackey,867049.6,3100000,2417049.6,12085248,13371412,323,SHA Waterworks LLC,,,12
1774,Worcester,"Osgood Bradley Building, 18 Grafton St",R,"26, 27, 28,29, 30, 31,32, 33, 34,35, 36",Bradford P. Wyatt,3377253.4,3300000,5377253.4,26886267,32432788,402,"Wyatt Development, LLC",,,11
1652,Lawrence,"Lower Pacific Mills, 300 Canal Street",R,"25, 26, 27, 28,29, 30, 31, 32,33, 34, 35",Christopher Starr,836400,2600000,2636400,13182000,14912000,367,Brady Sullivan Pacific Mills LLC,,,11
1485,Lawrence,"Lawrence Duck Mill #3 and #5 (Union Crossing II), 4 Union Street (Phase 3 of 3)","R, C","23, 24, 25, 26,27, 28, 29, 30,31, 32, 33",Jessica Andors,2340000,3600000,4640000,23200000,29300000,320,Union Canal Community Works LLC,,,11
2450,Northampton,"Gawith Hall, 46 Round Hill Road",O,"33, 34, 35, 36,37, 38, 39, 40,41, 42",Peter Picknelly,106449.8,1150000,1256449.8,6282249,11167000,589,"Historic Round Hill Summit, LLC c/o OPAL Real Estate Group",,,10
1658,Lowell,"Chalifoux Building, 24 Merrimack St","R, C","26, 27, 28, 29,30, 31, 32, 33,34, 35",Thomas Monahan,383973.8,2150000,1933973.8,9669869,10585306,392,24 Merrimack Street LLC c/o Absolute Broadcasting,,,10
2324,Malden,"Malden City Infirmary, 341 Forest Street",R,"33, 34, 35, 36,37, 38, 39, 40,41",Thomas Beirbaum,442820.4,2300000,2742820.4,13714102,30228474,583,VOA Malden Assisted Living LLC,,,9
1425,Worcester,Worcester Junction Shop,R,"24, 25, 26, 27,28, 29, 30, 31,32",Chris Starr,2686800,2600000,4686800,23434000,26062000,352,Brady Sullivan Worcester Properties LLC,,,9
334,New Bedford,Whitman Mill Number 2,R,"13,14,15, 16, 17,18, 19, 20, 21",Steve Ricciardi,225010.6,3500000,3125010.6,15625053,20702873,128,Victoria Riverview LLC,,,9
2266,Boston / Dorchester,97 - 103 Norfolk Street,R,"33, 34, 35, 36,37, 38, 39, 40,41",Daniel Cruz Jr.,145739.4,370000,515739.4,2578697,4374494,574,Wayne at Bicknell  LLC,,,9
2260,Boston / Dorchester,129 - 135 Intervale Street,R,"33, 34, 35, 36,37, 38, 39, 40,41",Daniel Cruz Jr.,154506.2,350000,504506.2,2522531,4337284,575,Wayne at Bicknell  LLC,,,9
1296,Gardner,"Heywood Wakefield Bld Nos. 11 A & 11B and Part of Blg No.10/11 Annex, Heywood Wakefield Co. Complex (Heywood Wakefield 4); 206 Central Street",R,"23, 24, 25, 26,27, 28, 29, 30,31",Matthew W. Mittelstadt,494384.8,4000000,3094384.8,15471924,20758623,318,JKS Gardner LLC,,,9
390,Boston / South End,19 Father Francis Gilday Street,R,"11,12,13, 14, 18,19, 20, 21, 22",Bart Mitchell,137240.4,2900000,1737240.4,8686202,11482131,94,19 Father Gilday LLC c/o Mitchell Properties LLC,,,9
1011,Springfield,"Caring Health Center, 1055- 1066 Main Street (Primary), 1049-1051 Main Street, 12 Park Street",C,"20, 21, 22, 23,24, 25, 26, 27,28",Tania Barber,1573657.6,2900000,3773657.6,18868288,21565854,270,Caring Health Center  Inc.,,,9
1861,Agawam,"The Gordon Mansfield Veterans Village, 702 South Westfield Street",R,"24, 26, 27, 28,29, 30, 31, 32,38",John F. Downing,409490,2200000,2609490,13047450,16294613,329,Soldier On Agawam,,,9
1487,Lawrence,"Malden Mills Phase II, Buildings 24  27  28  & 29  Bays 23/25-36",R,"9, 26, 27, 28,29, 30, 31, 32,33",Lawrence Curtis,712347.4,4950000,3562347.4,17811737,24577320,72,MM Lawrence II Limited Partnership,,,9
1674,Orange,"New Home Sewing Machine Company Storehouse & Washrooms, 16-36 West River Street & 58 South Main Street",R,"26, 28, 29, 30,31, 32, 33, 34,35",Chris Starr,326400,2100000,1826400,9132000,9947000,396,Brady Sullivan Orange Properties LLC,,,9
679,Boston / South End,56 Berkeley Street,H,"17, 18, 19, 20,21, 22, 23, 24,25",Clifford Long,172306.2,750000,722306.2,3611531,6165531,186,56 Berkeley Street LLC c/o Long & Gordon,,,9
813,New Bedford,"Manomet Mills - Mill No.1 (Bays 1-31), 194 Riverside Ave",R,"18, 19, 20, 21,22, 23, 24, 25,26",Gilbert Winn,1715343,4000000,4315343,21576715,32373227,219,Cliftex Lofts LLC by Cliftex Manager  Inc.  its Manager,,,9
2440,Malden,"The Browne - MasonicBuilding, 126-150 Pleasant Street","C, R","34, 35, 36, 37,38, 39, 40, 41,42",Gregory Jennison,1071823.2,1350000,2421823.2,12109116,25894024,610,126-150 Pleasant Street Associates LLC,,,9
17,Haverhill,L. H. Hamel Leather Company,"R, C","8,9,10,11,12,13,14, 15, 16",David Levey,4347200,15800000,13147200,65736000,77435000,64,Forest City Residential Group,,,9
1471,Brockton,"Howard Home for Aged Men, Belmont Street",R,"25, 26, 27, 28,29, 30, 31, 32,33",Betsy Collins,171549.2,1850000,1321549.2,6607746,6727931,363,Howard Home LLC,,,9
2124,Boston / Dorchester,50 - 52 Lorne Street / 4 Wilson Street,R,"33, 34, 35, 36,37, 38, 39, 40","John B. Cruz, III",103985.2,300000,403985.2,2019926,4049838,572,"Wayne at Bicknell, LLC",,,8
2065,Lynn,Security Trust Company Building  23 Central Street,R,"32, 33, 34, 35,36, 37, 38, 39",John McGrail,193445.2,2450000,1943445.2,9717226,10602196,567,"Union One Thirty Eight, LLC",,,8
1734,Leominster,"Jewett Piano Case Factory, 140 Adams Street",R,"29, 30, 31,32, 33, 34,35, 36",Louis Russo,105348,2800000,2205348,11026740,12690419,486,"L.D. Russo, Inc.",,,8
1370,Boston / South Boston,"Boston Wharf Co. / Dewey Gould & Co., F.A. Foster & Co.; 316-320 & 322-330 SummerStreet","C, O","25, 26, 27, 28,29, 30, 31, 32",John M. Cappellano,4068473.4,1400000,5268473.4,26342367,29283365,360,Lincoln Summer Street Venture LLC c/o Lincoln Property Company,,,8
1447,Boston / Downtown,"Blake & Amory Building, 59 Temple Place (Phases 1 & 2 of 2)",H,"26, 27, 28, 29,30, 31, 32, 33",John Rutledge,7767775.2,1600000,9067775.2,45338876,74184876,383,Walton Oxford Temple Owner  LLC,,,8
1543,Boston / Dorchester,467 Columbia Road,R,"25, 26, 29, 30,31, 32, 33, 34","John B. Cruz, III",132271.06,400000,532271.06,2661355.29,4720039.9,354,Cruz Development Corporation,,,8
1544,Boston / Dorchester,471 Columbia Road,R,"25, 26, 29, 30,31, 32, 33, 34","John B. Cruz, III",132271.06,400000,532271.06,2661355.29,4720039.9,355,Cruz Development Corporation,,,8
1546,Boston / Dorchester,"The Longford Apartments, 509 Columbia Road",R,"25, 26, 29, 30,31, 32, 33, 34","John B. Cruz, III",209694.74,500000,709694.74,3548473.71,6293386.54,356,Cruz Development Corporation,,,8
97,Boston / Dorchester,"Baker Square Water Mill, BakerSquare II  Phased (Phase 2 of 2)",R,"1,6,13,14,15,16, 17, 18",Lawrence H. Curtis,606878.6,1153000,1759878.6,8799393,9645552,2,Baker Square II Limited Partnership  c/oWinnDevelopment,,,8
1324,Pittsfield,"Onota Building, 64-74 North Street","C, R","24, 25, 26, 27,28, 29, 30, 31",Louis Allegrone,192784.8,2300000,1792784.8,8963924,10155625,344,"Allegrone Construction, Inc. d.b.a A.C. Enterprises LLC",,,8
1116,Holyoke,Convent of the Sisters of Providence of St. Vincent dePaul  218 Hampden St,R,"20, 21, 22, 23,24, 25, 26, 29",E. Denis Walsh,59696.4,1150000,709696.4,3548482,4118239,263,Weld Management,,,8
1021,Springfield,"Outing Park Apartments I - Bldg #5, 21 Niagara St/36 Oswego  St",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,114795.4,500000,464795.4,2323977,2931980,286,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
1023,Springfield,Outing Park Apartments I - Bldg #8  71-75 Saratoga St,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,109863.6,350000,309863.6,1549318,1954653,289,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
1024,Springfield,Outing Park Apartments I - Bldg #9  9-11 Bayonne St,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,114795.4,500000,464795.4,2323977,2931980,290,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
1025,Springfield,Outing Park Apartments II -  Bldg #10  12-16 Bayonne Street,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,124172.6,450000,424172.6,2120863,2625524,291,"Outing Park Apartments II Limited Partnership, Outing Park Apartments II LLC, its General Partner, First Resource Development Company",,,8
1026,Springfield,"Outing Park Apartments II - Bldg #12, 263-267 Dwight St Extension",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,165563.6,550000,565563.6,2827818,3500699,293,"Outing Park Apartments II Limited Partnership, Outing Park Apartments II LLC, its General Partner, First Resource Development Company",,,8
1027,Springfield,"Outing Park Apartments II - Bldg#11, 17 Bayonne St/90-94 Oswego St",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,165563.6,550000,565563.6,2827818,3500699,292,"Outing Park Apartments II Limited Partnership, Outing Park Apartments II LLC, its General Partner, First Resource Development Company",,,8
1028,Springfield,"Outing Park Apartments II - Bldg#13, 277-281 Dwight St Extension/62-66 Oswego St",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,277649.8,750000,777649.8,3888249,4813461,294,"Outing Park Apartments II Limited Partnership, Outing Park Apartments II LLC, its General Partner, First Resource Development Company",,,8
1029,Springfield,"Outing Park Apartments II - Bldg#14, 293-297 Dwight St Extension/51 Oswego St",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,165563.6,550000,565563.6,2827818,3500699,295,"Outing Park Apartments II Limited Partnership, Outing Park Apartments II LLC, its General Partner, First Resource Development Company",,,8
1030,Springfield,"Outing Park Apartments II - Bldg#15, 75-79 Oswego St",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,165563.6,550000,565563.6,2827818,3500699,296,"Outing Park Apartments II Limited Partnership, Outing Park Apartments II LLC, its General Partner, First Resource Development Company",,,8
1031,Springfield,Outing Park Apartments II - Bldg#16  65-69 Oswego St,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,206954.4,750000,706954.4,3534772,4375874,297,"Outing Park Apartments II Limited Partnership, Outing Park Apartments II LLC, its General Partner, First Resource Development Company",,,8
656,Beverly,J. P. Friend & Company Box Factory  60 Pleasant Street,"O, C","13, 16, 17, 21,22, 23, 24, 25",Lee Dellicker,136855.6,1200000,1136855.6,5684278,7410947,126,Pleasant Street Apartments LLC c/o Windover Development,,,8
873,Boston / South Boston,"Stillings Building, 368 Congress Street",H,"20, 21, 22, 23,24, 25, 26, 27",David Leatherwood,3536554.2,3700000,5736554.2,28682771,57043463,257,Norwich Partners of Boston LLC c/o Holland & Knight LLP,,,8
953,Boston / Dorchester,1439-1443 & 1447-1451 BlueHill Avenue,R,"20, 21, 22, 24,25, 26, 27, 28",John B. Cruz III,296880.2,2100000,1596880.2,7984401,12493620,251,WBH Housing LLC,,,8
1022,Springfield,Outing Park Apartments I - Bldg #6  20-24 Saratoga St,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,109863.6,350000,309863.6,1549318,1954653,287,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
1020,Springfield,"Outing Park Apartments I - Bldg #4, 15 Niagara St",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,109863.6,350000,309863.6,1549318,1954653,285,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
1019,Springfield,Outing Park Apartments I - Bldg #3  10-12 Niagara St,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,109863.6,350000,309863.6,1549318,1954653,284,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
834,Springfield,"Concord Heights (Outing Park), Building #6, 95-99 Oswego Street",R,"19, 20, 21, 22,23, 24, 25, 26",Gordon Pulsifer,151054,350000,451054,2255270,3071424,245,"Concord Heights Limited Partnership, Concord Heights LLC, Its General Partner, First Resource Development Company",,,8
997,Lowell,"Boot Mills, Mills # 3, 4, 5 West(Bays 20.1 to 22.1) and Picker House  foot of John St","R, O","21, 22, 23, 24,25, 26, 27, 28",Gilbert Winn,3776600,3000000,5776600,28883000,37764000,276,Boot Mill Developer LLC,,,8
833,Springfield,"Concord Heights (Outing Park), Building #5, 22 Bayonne Street/ 76 Oswego Street",R,"19, 20, 21, 22,23, 24, 25, 26",Gordon Pulsifer,151054,350000,451054,2255270,3071424,244,"Concord Heights Limited Partnership, Concord Heights LLC, Its General Partner, First Resource Development Company",,,8
832,Springfield,"Concord Heights (Outing Park) Building #4, 31-35 Oswego Street",R,"19, 20, 21, 22,23, 24, 25, 26",Gordon Pulsifer,151054,350000,451054,2255270,3071424,243,"Concord Heights Limited Partnership, Concord Heights LLC, Its General Partner, First Resource Development Company",,,8
2231,Springfield,"Memorial Square Apartments,2291-2295 Main Street",R,"26, 27, 28, 29,30, 31, 39, 40",Heriberto Flores,819859.8,1800000,2619859.8,13099299,15769893,400,"New England Farm Workers' Council, Inc.",,,8
831,Springfield,"Concord Heights (Outing Park), Building #3, 21-25 Oswego Street",R,"19, 20, 21, 22,23, 24, 25, 26",Gordon Pulsifer,151054,350000,451054,2255270,3071424,242,"Concord Heights Limited Partnership, Concord Heights LLC, Its General Partner, First Resource Development Company",,,8
830,Springfield,"Concord Heights (Outing Park), Building #2, 4 Niagara Street /15 Saratoga Street",R,"19, 20, 21, 22,23, 24, 25, 26",Gordon Pulsifer,151054,350000,451054,2255270,3071424,241,"Concord Heights Limited Partnership, Concord Heights LLC, Its General Partner, First Resource Development Company",,,8
829,Springfield,"Concord Heights (Outing Park), Building #1, 7-11 Niagara Street",R,"19, 20, 21, 22,23, 24, 25, 26",Gordon Pulsifer,151054,350000,451054,2255270,3071424,240,"Concord Heights Limited Partnership, Concord Heights LLC, Its General Partner, First Resource Development Company",,,8
2252,Athol,"The Union Twist Mill, 134 Chestnut Hill Avenue","R, C","34, 35, 36, 37,38, 39, 40, 41",Vincent J. Purple,10957315.52,1600000,12557315.52,62786577.6,71773425,603,L.P. Athol Corporation,,,8
1016,Springfield,Outing Park Apartments I - Bldg #7  28 Saratoga St,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,109863.6,350000,309863.6,1549318,1954653,288,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
1017,Springfield,"Outing Park Apartments I - Bldg #1, 17 Montpelier St/26 Niagara Street/28 Oswego Street",R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,97193.2,850000,697193.2,3485966,4397970,282,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
1018,Springfield,Outing Park Apartments I - Bldg #2  16-18 Montpelier St,R,"21, 22, 23, 24,25, 26, 27, 28",Gordon Pulsifer,114795.4,500000,464795.4,2323977,2931980,283,"Outing Park Apartments I Limited Partnership, Outing Park Apartments I LLC its General Partner, First Resource Development Company",,,8
906,New Bedford,"Standard-Times Building, 553-567 Pleasant Street","C, O","20, 21, 22, 23,24, 25, 26, 27",Dr. Shiawee Xiaohui Yang,230351.6,600000,830351.6,4151758,5873031,267,"New Bedford Urban Renaissance, LLC",,,8
