,City/Town,Name of Property,Use**,Prior Rounds Applications,Proponent Name,Remaining Credit to Award,Total Awards,20% QRE,Qualified Rehab. $,Total Project Cost,HRC #,Entity,Part 2 Qualified Rehab. $,Part 2 Total Project Cost,Count_prior_rounds_applied
2288,Boston / Roxbury,"Sewall Building, 41 Dimock Street",Health,"33, 34, 35, 37,38, 39, 40, 41",Dr. Myechia Minter-Jordan,1112152.8,1200000,2312152.8,11560764,15125237,577,Dimock Support Corporation,,,8
2400,Boston / Roxbury,"The Gables, 49-51 CheneyStreet",R,"35, 36, 37, 38,39, 40, 41, 42",Frank Shea,262539.8,600000,862539.8,4312699,10128369,607,Urban Edge,,,8
761,Worcester,"Printers Building, 44-50 Portland St","C, R","18, 19, 20, 21,22, 23, 24, 25",Wyatt Wade,120152.4,3400000,2520152.4,12600762,15786427,229,The Printer's Building Trust,,,8
237,Lawrence,"Kunhardt Mill, Building #9, 50 Island St","R, C","14,15, 16, 17,18, 19, 20",William Traynor,1351593.8,3200000,4051593.8,20257969,27139788,137,East Island Community Works LLC c/o Lawrence CommunityWorks,,,7
2186,Framingham,"Tribune Apartments, 46 Irving Street",R,"32, 33, 34, 35,36, 37, 40",Cory Mian,313384.6,750000,1063384.6,5316923,17822275,560,Preservation of Affordable Housing Inc.,,,7
2405,Brockton,"New England Telephone andTelegraph Building, 47 Pleasant Street",R,"36, 37, 38, 39,40, 41, 42",Geoffrey Anatole,251690.18,400000,651690.18,3258450.92,4453379.96,668,South Shore Property Management  LLC,,,7
1806,Great Barrington,"Saint James Place, 352 Main Street",E,"22, 23, 24, 25,26, 36, 37",Sally Harris,543708.6,3064000,2507708.6,12538543,12947313,307,Saint James Place,,,7
806,Lowell,"Hamilton Manufacturing Company Mill #6, 101-161 Jackson Street (formerly 26 Jackson Street)",O,"20, 21, 22, 23,24, 25, 26",Dorcas Grigg-Saito,4240076.2,2500000,6140076.2,30700381,42458374,266,Lowell Community Health Center,,,7
797,Greenfield,"American House (Wilson's), 242-258 Main St (Phase 1-3 of 3)","C, O, H","15, 16, 17, 18,24, 25, 26",Kevin O'Neil,218540.6,2400000,1668540.6,8342703,13561375,153,Wilson's Department Store,,,7
790,Easton,"Oliver Ames & Sons Shovel Works, 26, 28 & 34 Main Street & 13 Oliver Street",R,"20, 21, 22, 23,24, 25, 26",Pamela Goodman,2207299,6100000,6307299,31536495,47613289,258,BC Shovel Works LLC c/o Beacon Communities,,,7
426,Pittsfield,A. H. Rice Silk Mill,R,"16, 17, 18, 19,20, 21, 22",Jon Rudzinski,174871.4,2100000,2274871.4,11374357,15474030,176,Rees-Larkin Development LLC,,,7
1153,Winthrop,"Highland School / Arthur W. Dalrymple School, 46 Grovers Avenue",R,"19, 24, 25, 26,27, 28, 29",Albert F  Caldarelli,564896.2,1100000,1664896.2,8324481,10986705,247,East Boston CDC,,,7
1268,Boston / Downtown,"I. J. Fox Building, 407 Washington Street","R, C","25, 26, 27, 28,29, 30, 31",David Pogorelc,234072,1700000,1534072,7670360,11237153,358,407 Smiley Crossing LLC c/o CORE Investments Inc.,,,7
967,Boston / South Boston,"Crucible Steel Company of America Storehouse, 381 Congress Street","R, C","22, 23, 24, 25,26, 27, 28",Mark Barer,2302526.8,1200000,3302526.8,16512634,19331685,302,"381 Congress Street LLC c/o Berkeley Investments, Inc.",,,7
1232,Springfield,"Quadrangle Court Apartments, 114-118 & 120-130 ByersStreet/103 Pearl Street",R,"24, 25, 26, 27,28, 29, 30",Michael St. Dennis,115592.4,500000,615592.4,3077962,4549251,349,HAP Housing,,,7
1004,New Bedford,"Manomet Mills - Mill No.2, 200 Riverside Ave",R,"22, 23, 24, 25,26, 27, 28",Dana Ricciardi,2170687,1800000,3570687,17853435,23289484,310,Riverbank Lofts LLC c/o Acorn Management,,,7
2011,Boston / South End,"The Alonzo Dexter Residence, 1902 - 1904 Washington  Street","R, C","33, 34, 35, 36,37, 38, 39",Brent A. Berc,326748.6,300000,626748.6,3133743,4554984,580,11 Newcomb Street LLC,,,7
1164,Boston / Back Bay,"Boston Consolidated Gas Company, 100 Arlington Street, 250 Stuart Street","R, C","24, 25, 26, 27,28, 29, 30",Dean F. Stratouly,13451209.4,3000000,15951209.4,79756047,112627605,330,"100 Arlington Acquisition Company, LLC; Deleware Limited Partnership c/o The Congress Group, 33 Arch Street",,,7
1115,Holyoke,"School of the Immaculate Conception of Notre Dame de Lourdes / Mara Hall, 91 Chestnut Street",R,"20, 21, 22, 23,24, 25, 29",E. Denis Walsh,196036.4,1100000,846036.4,4230182,4878311,261,Weld Management,,,7
565,Boston / Downtown,Dill Building  11-25 Stuart St,"H, C","18, 19, 20, 21,22, 23, 24",Deborah Ruhe,2971796.2,2700000,5671796.2,28358981,48304369,208,Boston Hostel Business Trust,,,7
1315,Middleborough,Star Mill  35 East Main Street,R,"25, 26, 27, 28,29, 30, 31","Ferdinand J. Kiley, III",487416.2,1000000,1487416.2,7437081,11125094,368,"35 East Main Street, LLC c/o Heritage Companies",,,7
335,Northbridge,"Linwood Mill, 666 Linwood Ave",R,"15, 16, 17, 18,19, 20, 21",Matthew Middlestadt,210556.2,2600000,2810556.2,14052781,17420579,162,"in conjunction with Linwood Mill, LLC (Current Owner of",,,7
1311,Lowell,"Saco-Lowell Shops, Building #14, 110 Canal Street (Phase 2of 5)",O,"18, 19, 20, 21,22, 23, 24",James Keefe,1039157.2,4000000,1039157.2,5195786,6631543,218,Trinity Freudenberg Limited Partnership,,,7
1670,Northampton,"Rogers Hall, 49 Round Hill Rd",R,"26, 27, 28, 29,30, 31",Peter Picknelly,261120,1400000,1111120,5555600,7078000,395,"Historic Round Hill Summit, LLC c/o OPAL Real Estate Group",,,6
2201,Lenox,"Cameron House, 109 Housatonic Street",R,"35, 36, 37, 38,39, 40",Mark Hess,176110.8,900000,1076110.8,5380554,9816559,637,"HallKeen Management, Inc.",,,6
1873,Boston / Dorchester,57 Bicknell Street,R,"33, 34, 35, 36,37, 38","Daniel Cruz, Jr.",184622.8,550000,734622.8,3673114,5311114,573,Cruz Development Corporation,,,6
2225,Springfield,Maple Commons Apartments - Building 1  24-26 High Street,R,"35, 36, 37, 38,39, 40",Gordon Pulsifer,208565,600000,808565,4042825,4664348,642,Maple Green Limited Partnership (Maple Green LLC its General Partner),,,6
2226,Springfield,"Maple Commons Apartments -Building 2, 25-31 High Street",R,"35, 36, 37, 38,39, 40",Gordon Pulsifer,158565,650000,808565,4042825,4664348,643,Maple Green Limited Partnership (MapleGreen LLC its General Partner),,,6
2227,Springfield,"Maple Commons Apartments -Building 3, 33-35 High Street",R,"35, 36, 37, 38,39, 40",Gordon Pulsifer,189421.6,700000,889421.6,4447108,5130783,644,Maple Green Limited Partnership (MapleGreen LLC its General Partner),,,6
2364,Arlington,"Arlington Heights MethodistChurch, 20 Westminster Avenue",R,"37, 38, 39, 40,41, 42",Pamela Hallett,109582.2,450000,559582.2,2797911,4101411,684,Housing Corporation of Arlington,,,6
1952,Northampton,"Skinner Hall, 54 Round Hill Road",R,"33, 34, 35, 36,37, 38",Peter Picknelly,141613.2,450000,591613.2,2958066,3666000,590,"Historic Round Hill Summit, LLC c/o OPAL Real Estate Group",,,6
2228,Springfield,"Maple Commons Apartments - Building 9, 86-92 School  Street",R,"35, 36, 37, 38,39, 40",Gordon Pulsifer,146852,500000,646852,3234260,3731479,649,Maple Green Limited Partnership (Maple Green LLC its General Partner),,,6
2353,Worcester,"Houghton Building, 82 Franklin Street",R,"36, 37, 38, 39,40, 41",John McGrail,128550.4,650000,778550.4,3892752,4485152,683,Worcester Franklin Holdings LLC,,,6
1444,Boston / Dorchester,"The Mt. Monadnock, 1-3 Monadnock Street",R,"28, 29, 30, 31,32, 33",Martha Abrams-Bell,202562.6,750000,952562.6,4762813,9059995,422,Lionhead Apartments LLC,,,6
854,Boston / Back Bay,117 Newbury Street,"C, O","22, 23, 24, 25,26, 27",Cindy Reuter,144766.4,300000,444766.4,2223832,2382282,300,Junior League of Boston,,,6
667,Boston / Roxbury,"Coleman-Webb Building, 1542-1544 Columbus Avenue","R, O, A","20, 21, 22, 23,24, 25",Salvatore Bosco,180000,600000,780000,3900000,21500000,255,Urban Edge Housing Corporation,,,6
1143,Springfield,"Kenwyn Park Apartments, 6 Kenwood Park & 413-415 Belmont Ave",R,"24, 25, 26, 27,28, 29",Michael St. Dennis,76465.8,650000,726465.8,3632329,4908316,348,HAP Housing,,,6
1352,Boston / Dorchester,217 Columbia Road,R,"25, 26, 29, 30,31, 32","John B. Cruz, III",166135.53,100000,266135.53,1330677.64,2360019.95,353,Cruz Development Corporation,,,6
1062,Boston / South Boston,51 Melcher Street,O,"24, 25, 26, 27,28, 29",David Greaney,2342414.6,800000,3142414.6,15712073,29845049,335,"Melcher Street Holdings, LLC c/o Synergy Investment & Development",,,6
369,Whitman,Commonwealth Shoe & Leather Company (Phase 2 of 2; Phase 1 Certificate for $1mil issued 11/1/10,R,"16, 17, 18, 19,20, 21",Ferdinand J. Kiley III,1422788.6,1800000,3222788.6,16113943,20012378,178,7 Marble Street LLC  c/o Heritage Companies,,,6
764,Arlington,"Holian Apartments, 252, 258,260 Mass Ave",R,"20, 21, 23, 24,25, 26",Pamela Hallett,126800,1250000,1076800,5384000,10707288,248,Housing Corporation of Arlington,,,6
87,Salem,Salem Jail Complex,"R, C","12,13,14,15,16, 17",David Goldman,304179.4,1900000,2204179.4,11020897,12159576,110,Old Salem Jail Ventures LLC,,,6
1185,Boston / South Boston,"Emmons Bros. Company, 49 Melcher Street","R, C","25, 26, 27, 28,29, 30",Steve Goodman,1411385.2,600000,2011385.2,10056926,16026872,361,49 Melcher Street LLC c/o CRE Management,,,6
114,Lawrence,"Arlington Mills (Malden Mills)(Buildings 5, 7, 8, and 9)(Phase 1 of 2)",R,"13,14,15, 16,17, 18",David Nyberg,5006058,2600000,7606058,38030290,41805290,112,Lawrence / Methuen Properties LLC,,,6
1579,New Bedford,"John Howland, Jr. House, 38 South 6th Street (Phase 1 of 2)",R,"29, 30, 31, 32,33, 34",Teri Bernert,108729.8,400000,508729.8,2543649,2593649,490,WHALE Development Corp,,,6
1628,Boston / Charlestown,"Tar House Building 60, Charlestown Navy Yard, 3rd Avenue",R,"30, 31, 32, 33,34, 35",Joseph F. Timilty,190003.8,250000,440003.8,2200019,2486284,506,Frontier Enterprises Inc.,,,6
57,Boston / Roxbury,Highland Spring/ Croft Brewery & Oliver Ditson,R,"12,13,14,15,16, 17",Lawrence H. Curtis,1129934.8,2000000,3129934.8,15649674,24827028,104,Pickle-Ditson Ltd. Prtnrsp. c/o WinnDevelopment,,,6
146,Worcester,Hill Envelope Company Factory,R,"13,14,15, 16,17, 18",Lawrence Curtis,1350753.6,1900000,3250753.6,16253768,23163380,114,Canal Lofts Limited Partnership c/o WinnDevelopment,,,6
1550,Boston / Roxbury,"McDermott's Block, 206-210 Hampden St./2-4 Dunmore St","R, C","29, 30, 31, 32,33, 34",David Price,381427,700000,1081427,5407135,6688425,459,Roxbury Development,,,6
2091,Springfield,"Maple Commons Apartments -Building 7, 61 High Street",R,"35, 36, 37, 38,39",Gordon Pulsifer,123432,200000,323432,1617160,1865739,648,Maple Green Limited Partnership (MapleGreen LLC its General Partner),,,5
535,Springfield,"Concord Heights (Outing Park),Building #7  105 Oswego Street",R,"19, 20, 21, 22,23",Gordon Pulsifer,75527,150000,225527,1127635,1535712,246,"Concord Heights LimitedPartnership, Concord Heights LLC, Its General Partner, First Resource DevelopmentCompany",,,5
1201,Haverhill,"Winter Street School Building Redevelopment, 165 Winter Street",R,"26, 27, 28, 29,30",William Grogan,109697.4,750000,859697.4,4298487,5167508,390,"POUA Holdings, Inc.",,,5
2090,Springfield,Maple Commons Apartments - Building 6  57-59 High Street,R,"35, 36, 37, 38,39",Gordon Pulsifer,146852,500000,646852,3234260,3731479,647,Maple Green Limited Partnership (Maple Green LLC its General Partner),,,5
2088,Springfield,Maple Commons Apartments - Building 4  52 High Street,R,"35, 36, 37, 38,39",Gordon Pulsifer,146852,500000,646852,3234260,3731479,645,Maple Green Limited Partnership (Maple Green LLC its General Partner),,,5
2089,Springfield,Maple Commons Apartments - Building 5  56 High Street,R,"35, 36, 37, 38,39",Gordon Pulsifer,146852,500000,646852,3234260,3731479,646,Maple Green Limited Partnership (Maple Green LLC its General Partner),,,5
1131,Nantucket,"Point Breeze Hotel, 77 Easton Street (Phases 1 and 2 of 2)",H,"25, 26, 27, 28,29",Mark A. Snider,1815340,700000,2515340,12576700,15660200,369,"Nantucket Hotel Holdings, LLC",,,5
707,Lowell,Massachusetts Mohair Plush Company - Bldgs 1 & 3; 122 Western Avenue,Artists' Studios,"21, 22, 23, 24,25",Karl Frey,118301.2,950000,1068301.2,5341506,6180346,277,BPV Lowell LLC,,,5
874,Brockton,"Station Lofts / Lilly, Brackett & Company /Geo. Knight & Co., 124 Montell St",R,"22, 23, 24, 25,26",Jason Korb,188993.2,1800000,1488993.2,7444966,8866703,305,CC Station Lofts LLC,,,5
882,Chicopee,"Ames Privilege Apartments (former Ames Manufacturing Co), 1-1A Springfield Street","R, C","13, 14, 16, 20,27",Andrew P  Burnes,310316.6,3585816,2103224.6,10516123,12388707,119,"Ames Priviledge Associates LP, Ames I Master Tenant LLC  Ames II Wing LP",,,5
2453,Salem,90 Washington Street,"C, O","38, 39, 40, 41,42",George Vernet,737755.4,300000,1037755.4,5188777,5655017,739,Nine Zero Washington  LLC,,,5
2384,Boston / Mattapan,"Fowler Clark Epstein Farm,487 Norfolk Street","O, A","36, 39, 40, 41,42",Kathy Kottaridis,147324.2,400000,547324.2,2736621,3759686,662,Fowler Clark Farm LLC/Historic BostonInc.,,,5
593,Holyoke,"William Whiting School, 70 Chestnut Street",R,"20, 21, 22, 23,24",E. Denis Walsh,107604.4,850000,957604.4,4788022,5791425,260,Weld Management,,,5
1096,Cambridge,"Craigie Arms, 122 Mount Auburn Street",R,"25, 26, 27, 28,29",Jane Carbone,674691.4,700000,1374691.4,6873457,23369608,364,"Executive Director, Chapman Arms, LLC c/o Homeowner's Rehab  Inc.",,,5
1860,Worcester,"Worcester Corset Company Factory, 45 Grand Street(formerly 30 Wyman Street)",R,"32, 33, 34, 35,36",Mark R. Epker,296560.8,900000,1196560.8,5982804,6348572,571,Crystal Park Limited Partnership,,,5
1838,Salem,"Congress and Dow Apartments, 52 - 60 Dow Street",R,"33, 34, 35, 36,37",Mickey Northcutt,579481.8,450000,1029481.8,5147409,7982801,594,Congress Street Residences LP,,,5
1837,Plymouth,"Plymouth Post Office Building,6 Main Street Extension","C, R","33, 34, 35, 36,37",George N.Vasvatekis,322060,400000,722060,3610300,5160450,591,"1620 Capital, LLC.",,,5
1874,Boston / Dorchester,92-94 Esmond Street,R,"34, 35, 36, 37,38","Daniel Cruz, Jr.",128490.2,150000,278490.2,1392451,2328322,606,Cruz Development Corporation,,,5
1348,Boston / Back Bay,11-15 Cortes Street,R,"28, 29, 30, 31,32",Mark Winkeller,330839,500000,830839,4154195,6274197,421,Caritas Acquisition LLC,,,5
1357,Boston / Dorchester,"The Denmark, 713 Dudley Street",R,"28, 29, 30, 31,32",Martha Abrams-Bell,170273.4,450000,620273.4,3101367,5899531,423,Lyonhead Apartments LLC,,,5
1448,Boston / Downtown,Old City Hall  45 School Street,C,"29, 30, 31, 32,33",Sean McDonnell,186236,1000000,1186236,5931180,6694484,456,"Architectural Heritage Foundation, through of its wholly owned subsidiaries",,,5
1721,Dedham,"Norfolk House, 19 CourtStreet",R,"32, 33, 34,35, 36",Peter W. Smith,115148,700000,815148,4075740,5501918,559,19 Court Street LLC,,,5
1618,Boston / Allston- Brighton,1285-1291 Commonwealth Avenue,R,"29, 30, 31, 32,33",Carol Ridge- Martinez,104257.2,850000,654257.2,3271286,7477216,448,Allston Brighton Community Development Corporation,,,5
84,North Andover,Davis & Furber Mill (Now 3 of All 3 Phases),"R, C, O","13,14,15, 16,17",David Steinbergh,667195,1200000,1867195,9335975,11195140,125,RCG North Andover Mills LLC,,,5
1638,Bourne,"Bourne High School/Coady Middle School, 4 (85) Cotuit RD",R,"23, 24, 25, 26,30",Richard Hayden,405363.8,2800000,1805363.8,9026819,18974095,315,"Stratford Capital Group, LLC/School Street Residences L.P.",,,5
1496,Lowell,"Lowell Sun Building, 15 Kearney Square","R, C","29, 30, 31, 32,33",Thomas Monahan,1330516,400000,1730516,8652580,8795580,489,Chandler Street LLC,,,5
1502,Middleborough,"Leonard, Shaw & Dean Shoe Factory / Shoe Shop Place, 151 Peirce Street",R,"22, 23, 24, 25,32",Dean E. Harrison,245100.6,2700000,1645100.6,8225503,10086359,309,The Neighborhood Corporation,,,5
1564,Haverhill,"Marsh Building, 37-47 Washington Street","R, C","29, 30, 31, 32,34",David Traggorth,117506.8,1000000,1117506.8,5587534,6727059,484,37 Washington Street  LLC,,,5
456,Watertown,"Perkins School for the Blind (Phases 2 and 3 of 3), 175 North Beacon St","A, R, O","18, 19, 20, 21,22",Steven M. Rothstein,800000,2000000,2800000,14000000,31600000,227,Perkins School for the Blind,,,5
429,Springfield,"City View Commons II, Bldg #1, 926 Worthington St and 5 & 9 Federal Ct",R,"18, 19, 20, 21,22",Gordon Pulsifer,345818.6,600000,945818.6,4729093,5805260,221,"City View Commons Limited Partnership II, City View Commons II LLC, Its General Partner",,,5
1264,Boston / Dorchester,"Home for Destitute Jewish Children (now known as the Edward W. Brooke Charter School), 150-156 American Legion Highway",A,"27, 28, 29, 30,31",Meghan Thornton,1884429.4,1200000,3084429.4,15422147,23393481,405,Brooke II LLC,,,5
1230,Springfield,Massasoit Block - Paramount Theater  1676-1708 Main Street,"E, O  C","26, 27, 28, 29,30",Heriberto Flores,5835662.6,1400000,7235662.6,36178313,51136398,399,"New England Farm Workers' Council, Inc.",,,5
431,Springfield,"City View Commons II, Bldg #6, 26-30 Summit St",R,"18, 19, 20, 21,22",Gordon Pulsifer,68709.4,400000,468709.4,2343547,3247130,223,"City View Commons Limited Partnership II, City View Commons II LLC, Its General Partner",,,5
430,Springfield,"City View Commons II, Bldg #2, 91, 93, 95 Federal St and 18 Federal Ct",R,"18, 19, 20, 21,22",Gordon Pulsifer,563891.6,700000,1263891.6,6319458,7510680,222,"City View Commons Limited Partnership II, City View Commons II LLC, Its General Partner",,,5
132,Springfield,"City View Commons I, Bldg #1,60-68 Federal St & 895-899 Worthington St",R,"15, 16, 17, 18",Gordon Pulsifer,336598.8,600000,936598.8,4682994,6691976,163,City View Commons LimitedPartnership  c/o First Resource Development Co.,,,4
133,Springfield,"City View Commons I, Bldg #2,57-63 Federal St/ 915-921 Worthington St",R,"15, 16, 17, 18",Gordon Pulsifer,336598.8,600000,936598.8,4682994,6691976,164,City View Commons LimitedPartnership  c/o First Resource Development Co.,,,4
134,Springfield,"City View Commons I, Bldg #3,4-10 Federal Ct/ 79-83 Federal St/ 916 Worthington St",R,"15, 16, 17, 18",Gordon Pulsifer,251453.4,600000,851453.4,4257267,6083614,165,City View Commons Limited Partnership  c/o First ResourceDevelopment Co.,,,4
374,Yarmouth,"John Simpkins School, 134 Old Main St",R,"18, 19, 20, 21",Richard Hayden,1265023,800000,2065023,10325115,17325443,231,Stratford Capital Group  LLC,,,4
74,Lawrence,Washington Mills #6 (River Mill) and Dye House,R,"14,15, 16, 17",David J. Levey,10701600,1000000,11701600,58508000,70495000,134,FC 250 Canal Street LLC,,,4
4,Boston / Jamaica Plain,Mount Pleasant Home,R,"11,12,13, 14",Merlin Southwick,204238,1800000,1504238,7521190,20300000,98,Mount Pleasant Home,,,4
111,Gloucester,"Central Grammar Apts, 10 Dale Ave",R,"15, 16, 17, 18",Marc Sandler,210445.4,1600000,1810445.4,9052227,17685645,148,"Central Grammar Inc., General Partner of Center GrammarLimited Partnership",,,4
110,Fall River,"Wampanoag Mills, Mill #1, No.1Picker House & Engine House #1420 Quequechan St",R,"15, 16, 17, 18",Lawrence H. Curtis,2604224,1200000,3804224,19021120,26183500,146,WinnDevelopment or Its Nominee,,,4
396,Cambridge,"Reversible Collar Company, 25- 27 Mount Auburn Street & 10-14 Arrow Street",O,"19, 20, 21, 22",Michael A. Reggio,129400,800000,929400,4647000,4647000,236,BBC Trust Dowse Inc.,,,4
397,Cambridge,"Cambridge YMCA (aka Central House), 820-830 Massachusetts Avenue","R, E","19, 20, 21, 22",Mark Winkeller,152505.6,1070000,1222505.6,6112528,9859940,237,Caritas Communities Inc,,,4
603,Lowell,Massachusetts Mohair Plush Company - Bldg 6; 150 Western Avenue,R,"21, 22, 23, 24",Rebecca A. Mattson,236792.2,1100000,1336792.2,6683961,9025000,278,Western Avenue Lofts LLC,,,4
342,Springfield,"City View Commons II, Bldg #9, 453 Taylor St",R,"18, 19, 20, 21",Gordon Pulsifer,67436.4,100000,167436.4,837182,1023710,226,"Partnership II, City View Commons II LLC  Its General",,,4
341,Springfield,"City View Commons II, Bldg #8 449 Taylor St",R,"18, 19, 20, 21",Gordon Pulsifer,67436.4,100000,167436.4,837182,1023710,225,"Partnership II, City View Commons II LLC  Its General",,,4
340,Springfield,"City View Commons II, Bldg #7, 443 Taylor St",R,"18, 19, 20, 21",Gordon Pulsifer,67436.4,100000,167436.4,837182,1023710,224,"Partnership II, City View Commons II LLC  Its General",,,4
212,Acton,Acton High School,R,"14, 15, 16, 17",William F. Lipchitz,187804,900000,1087804,5439020,5666029,139,Common Ground Development Corp,,,4
1747,New Bedford,"Seamen's Bethel/Mariner's Home, 15 Johnny Cake Hill","Museu m, Place of Worshi p","31, 32, 33, 34",Fred Toomey,84843.6,300000,384843.6,1924218,2638342,531,New Bedford Port Society,,,4
1719,Boston /South End,Ellis Memorial and EldredgeHouse  66 Berkeley Street,C,"17, 18, 33, 36",Leo J. Delaney,140540.2,1140000,760540.2,3802701,4079151,187,Ellis Memorial & Eldredge House,,,4
1754,Salem,"Congress and Dow Apartments, 105 - 109 Congress Street",R,"33, 34, 35, 36",Mickey Northcutt,237193.4,225000,462193.4,2310967,3249536,592,"Congress & Dow, LLC",,,4
1713,Boston / Jamaica Plain,"Jean Louis A. M. Cheverus School, 30 Sunnyside Street",A,"33, 34, 35, 36",Enoes Andujar,222990.2,400000,622990.2,3114951,3362321,576,"Hyde Square Task Force, Inc.",,,4
1620,Boston / Allston- Brighton,62 Glenville Avenue,R,"30, 31, 32, 33",Carol Ridge- Martinez,119708,250000,369708,1848540,4097169,499,Allston Brighton Community Development Corporation,,,4
1619,Boston / Allston- Brighton,58 Glenville Avenue,R,"30, 31, 32, 33",Carol Ridge- Martinez,134476.2,250000,384476.2,1922381,4309355,498,Allston Brighton Community Development Corporation,,,4
2042,Brookline,Gorfinkle and Barkin Rowhouse  89 Marion Street,R,"36, 37, 38, 39",Frank Hoff,369500,200000,569500,2847500,7141000,670,89 Marion Street LLC,,,4
1220,North Brookfield,"North Brookfield Town House, 185 North Main Street","C,Community Center","27, 28, 29, 30",K. Julie McCarthy,166422.8,800000,966422.8,4832114,5087037,415,Friends of the North Brookfield Town House,,,4
1755,Salem,"Congress and Dow Apartments, 111 Congress Street",R,"33, 34, 35, 36",Mickey Northcutt,200296.8,275000,475296.8,2376484,3500765,593,Congress & Dow  LLC,,,4
1431,Boston / Allston- Brighton,66 Glenville Avenue,R,"30, 31, 32, 33",Carol Ridge- Martinez,227770.4,150000,377770.4,1888852,4583170,500,Allston Brighton Community Development Corporation,,,4
1545,Bosotn / Dorchester,"Lithgow Building, 618 - 620 Washington Street & 363 Talbot Avenue",R,"31, 32, 33, 34",Thabiti Brown,363482.8,400000,763482.8,3817414,12239272,520,Codman Academy Realty Corporation,,,4
1548,Boston / Harbor Islands,"Thompson Island Outward Bound Education Center, Thompson Island (Phase 1-3 of 3)",A,"31, 32, 33, 34",Arthur Pearson,311339.6,300000,611339.6,3056698,6783200,527,Thompson Island Education Center,,,4
1432,Boston / Allston- Brighton,70 Glenville Avenue,R,"30, 31, 32, 33",Carol Ridge- Martinez,177240.6,150000,327240.6,1636203,3798243,501,Allston Brighton Community Development Corporation,,,4
